identifier,file,REMOTE_NAME,title,date,mediatype,collection
mlj_1932_1,"5WWJ-MMW1-JT99-221W-00000-00","MLJ 1932 1 5.pdf","Malayan Law Journal, 1932, Volume 1",[1932],texts,malayan-law-journal
,"5WTK-9F11-F2MB-S0NM-00000-00","MLJ 1932 1 12.pdf"
,"5WTK-9F11-F2MB-S1RT-00000-00","MLJ 1932 1 15.pdf"
,"5WTK-9F11-F2MB-S18B-00000-00","MLJ 1932 1 17.pdf"

,"5WTK-9F11-F2MB-S06X-00000-00","MLJ 1932 1 31.pdf"
,"5WTK-9F11-F2MB-S0HN-00000-00","MLJ 1932 1 42.pdf"
,"5WTK-9F11-F2MB-S08W-00000-00","MLJ 1932 1 46.pdf"
,"5WTK-9F11-F2MB-S0R2-00000-00","MLJ 1932 1 48.pdf"
,"5WTK-9F11-F2MB-S01T-00000-00","MLJ 1932 1 51.pdf"
,"5WTK-9F11-F2MB-S05K-00000-00","MLJ 1932 1 53.pdf"
,"5WTK-9F11-F2MB-S0H5-00000-00","MLJ 1932 1 57.pdf"
,"5WTK-9F01-F2MB-S4KC-00000-00","MLJ 1932 1 58.pdf"
,"5WTK-9F11-F2MB-S120-00000-00","MLJ 1932 1 64.pdf"
,"5WTK-9F01-F2MB-S4SC-00000-00","MLJ 1932 1 67.pdf"
,"5WTK-9F11-F2MB-S0V2-00000-00","MLJ 1932 1 68.pdf"
,"5WTK-9F11-F2MB-S0K6-00000-00","MLJ 1932 1 73.pdf"
,"5WTK-9F01-F2MB-S4T9-00000-00","MLJ 1932 1 74.pdf"

,"5WTK-9F01-F2MB-S50C-00000-00","MLJ 1932 1 76.pdf"
,"5WTK-9F01-F2MB-S506-00000-00","MLJ 1932 1 94.pdf"
,"5WTK-9F11-F2MB-S1BB-00000-00","MLJ 1932 1 95.pdf"
,"5WTK-9F11-F2MB-S059-00000-00","MLJ 1932 1 96.pdf"
,"5WTK-9F11-F2MB-S02S-00000-00","MLJ 1932 1 98.pdf"
,"5WTK-9F11-F2MB-S1P9-00000-00","MLJ 1932 1 99.pdf"
,"5WTK-9F01-F2MB-S55X-00000-00","MLJ 1932 1 107.pdf"
,"5WTK-9F11-F2MB-S118-00000-00","MLJ 1932 1 109.pdf"
,"5WTK-9F11-F2MB-S0C2-00000-00","MLJ 1932 1 112.pdf"
,"5WTK-9F11-F2MB-S1NV-00000-00","MLJ 1932 1 113.pdf"
,"5WTK-9F11-F2MB-S183-00000-00","MLJ 1932 1 124.pdf"

,"5WTK-9F11-F2MB-S1FM-00000-00","MLJ 1932 1 126.pdf"
,"5WTK-9F11-F2MB-S1M2-00000-00","MLJ 1932 1 128.pdf"
,"5WTK-9F11-F2MB-S10X-00000-00","MLJ 1932 1 134.pdf"
,"5WTK-9F11-F2MB-S030-00000-00","MLJ 1932 1 140.pdf"
,"5WTK-9F11-F2MB-S1ND-00000-00","MLJ 1932 1 141.pdf"
,"5WTK-9F11-F2MB-S10F-00000-00","MLJ 1932 1 149.pdf"
,"5WTK-9F11-F2MB-S0B3-00000-00","MLJ 1932 1 159.pdf"
,"5WTK-9F11-F2MB-S0Y2-00000-00","MLJ 1932 1 167.pdf"
,"5WTK-9F11-F2MB-S10S-00000-00","MLJ 1932 1 175b.pdf"
,"5WTK-9F11-F2MB-S1DS-00000-00","MLJ 1932 1 175.pdf"
,"5WTK-9F11-F2MB-S1B1-00000-00","MLJ 1932 1 177.pdf"
,"5WTK-9F01-F2MB-S4R8-00000-00","MLJ 1932 1 180.pdf"
,"5WTK-9F11-F2MB-S0V3-00000-00","MLJ 1932 1 181.pdf"
,"5WTK-9F11-F2MB-S1JK-00000-00","MLJ 1932 1 182.pdf"
,"610T-J841-JYYX-60C8-00000-00","MLJ 1932 1 182b.pdf"
mlj_1933_2,"5WTK-9F01-F2MB-S54W-00000-00","MLJ 1933 2 1.pdf","Malayan Law Journal, 1933, Volume 2",[1933],texts,malayan-law-journal
,"5WTK-9F11-F2MB-S0S3-00000-00","MLJ 1933 2 13.pdf"
,"5WTK-9F11-F2MB-S14N-00000-00","MLJ 1933 2 17.pdf"
,"5WTK-9F01-F2MB-S52V-00000-00","MLJ 1933 2 18.pdf"
,"5WTK-9F11-F2MB-S1H5-00000-00","MLJ 1933 2 20.pdf"
,"60X6-HYJ1-F8SS-60D1-00000-00","MLJ 1933 2 20b.pdf"
,"5WTK-9F11-F2MB-S0BB-00000-00","MLJ 1933 2 21.pdf"
,"5WTK-9F11-F2MB-S091-00000-00","MLJ 1933 2 27.pdf"
,"5WTK-9F11-F2MB-S041-00000-00","MLJ 1933 2 29.pdf"
,"5WTK-9F01-F2MB-S51G-00000-00","MLJ 1933 2 30.pdf"
,"5WTK-9F11-F2MB-S1HP-00000-00","MLJ 1933 2 35.pdf"
,"5WTK-9F11-F2MB-S15J-00000-00","MLJ 1933 2 39.pdf"
,"5WTK-9F11-F2MB-S0V7-00000-00","MLJ 1933 2 40.pdf"
,"5WTK-9F01-F2MB-S4RV-00000-00","MLJ 1933 2 41.pdf"
,"5WTK-9F01-F2MB-S4X0-00000-00","MLJ 1933 2 43.pdf"
,"5WTK-9F01-F2MB-S52D-00000-00","MLJ 1933 2 45.pdf"
,"5WTK-9F11-F2MB-S18G-00000-00","MLJ 1933 2 46.pdf"
,"5WTK-9F11-F2MB-S1DC-00000-00","MLJ 1933 2 48.pdf"
,"5WTK-9F11-F2MB-S0D4-00000-00","MLJ 1933 2 53.pdf"
,"5WTK-9F11-F2MB-S1FY-00000-00","MLJ 1933 2 61.pdf"
,"5WTK-9F11-F2MB-S01D-00000-00","MLJ 1933 2 64.pdf"
,"5WTK-9F11-F2MB-S0R7-00000-00","MLJ 1933 2 69.pdf"
,"60X6-HYJ1-F8SS-609Y-00000-00","MLJ 1933 2 69b.pdf"
,"5WTK-9F11-F2MB-S175-00000-00","MLJ 1933 2 71.pdf"
,"5WTK-9F11-F2MB-S0XV-00000-00","MLJ 1933 2 74.pdf"
,"5WTK-9F11-F2MB-S0SX-00000-00","MLJ 1933 2 76.pdf"
,"5WTK-9F11-F2MB-S0K5-00000-00","MLJ 1933 2 78.pdf"
,"5WTK-9F11-F2MB-S03R-00000-00","MLJ 1933 2 81.pdf"
,"5WTK-9F11-F2MB-S0V9-00000-00","MLJ 1933 2 83.pdf"
,"5WTK-9F01-F2MB-S4RT-00000-00","MLJ 1933 2 84.pdf"
,"5WTK-9F11-F2MB-S0NB-00000-00","MLJ 1933 2 85.pdf"
,"5WWJ-MMW1-JT99-20N5-00000-00","MLJ 1933 2 86.pdf"
,"5WTK-9F11-F2MB-S14G-00000-00","MLJ 1933 2 87.pdf"
,"60X6-HYJ1-F8SS-608V-00000-00","MLJ 1933 2 87b.pdf"
,"5WTK-9F11-F2MB-S1GW-00000-00","MLJ 1933 2 91.pdf"
,"5WTK-9F11-F2MB-S0BV-00000-00","MLJ 1933 2 92.pdf"
,"5WTK-9F11-F2MB-S0HD-00000-00","MLJ 1933 2 94.pdf"
,"5WTK-9F01-F2MB-S4S3-00000-00","MLJ 1933 2 97.pdf"
,"5WWJ-MMW1-JT99-21HF-00000-00","MLJ 1933 2 98.pdf"
,"5WTK-9F01-F2MB-S501-00000-00","MLJ 1933 2 100.pdf"
,"5WTK-9F11-F2MB-S0VW-00000-00","MLJ 1933 2 101.pdf"
,"60X6-HYJ1-F8SS-60BM-00000-00","MLJ 1933 2 101b.pdf"
,"5WTK-9F01-F2MB-S540-00000-00","MLJ 1933 2 102.pdf"
,"5WTK-9F11-F2MB-S13F-00000-00","MLJ 1933 2 103.pdf"
,"5WTK-9F11-F2MB-S0PS-00000-00","MLJ 1933 2 107.pdf"
,"5WWJ-MMW1-JT99-20RX-00000-00","MLJ 1933 2 111.pdf"
,"5WTK-9F11-F2MB-S01R-00000-00","MLJ 1933 2 119.pdf"
,"5WTK-9F11-F2MB-S1PJ-00000-00","MLJ 1933 2 122.pdf"
,"5WTK-9F11-F2MB-S1BJ-00000-00","MLJ 1933 2 126.pdf"
,"5WTK-9F11-F2MB-S15F-00000-00","MLJ 1933 2 128.pdf"
,"5WTK-9F01-F2MB-S4Y7-00000-00","MLJ 1933 2 133.pdf"
,"5WTK-9F11-F2MB-S1CS-00000-00","MLJ 1933 2 135.pdf"
,"5WTK-9F01-F2MB-S4TR-00000-00","MLJ 1933 2 140.pdf"
,"5WTK-9F11-F2MB-S138-00000-00","MLJ 1933 2 146.pdf"
,"5WTK-9F01-F2MB-S514-00000-00","MLJ 1933 2 147.pdf"
,"5WWJ-MMW1-JT99-21ST-00000-00","MLJ 1933 2 151.pdf"
,"5WTK-9F11-F2MB-S1B6-00000-00","MLJ 1933 2 154.pdf"
,"5WTK-9F11-F2MB-S0KV-00000-00","MLJ 1933 2 159.pdf"
,"5WTK-9F01-F2MB-S563-00000-00","MLJ 1933 2 160.pdf"
,"5WTK-9F11-F2MB-S1DV-00000-00","MLJ 1933 2 161.pdf"
,"5WTK-9F11-F2MB-S1JF-00000-00","MLJ 1933 2 163.pdf"
,"5WTK-9F11-F2MB-S0D9-00000-00","MLJ 1933 2 164.pdf"
,"5WTK-9F11-F2MB-S03W-00000-00","MLJ 1933 2 170.pdf"
,"5WTK-9F01-F2MB-S4S0-00000-00","MLJ 1933 2 178.pdf"
,"5WTK-9F01-F2MB-S4R0-00000-00","MLJ 1933 2 185.pdf"
,"60X6-HYJ1-F8SS-6096-00000-00","MLJ 1933 2 185b.pdf"
,"5WTK-9F11-F2MB-S0YC-00000-00","MLJ 1933 2 186.pdf"

,"5WTK-9F01-F2MB-S4VX-00000-00","MLJ 1933 2 187.pdf"

,"5WTK-9F11-F2MB-S1J7-00000-00","MLJ 1933 2 195.pdf"
,"60X6-HYJ1-F8SS-60BF-00000-00","MLJ 1933 2 195b.pdf"
,"5WTK-9F11-F2MB-S1B8-00000-00","MLJ 1933 2 197.pdf"
,"5WTK-9F11-F2MB-S067-00000-00","MLJ 1933 2 198.pdf"
,"5WWJ-MMW1-JT99-21YH-00000-00","MLJ 1933 2 211.pdf"
,"5WTK-9F01-F2MB-S4RD-00000-00","MLJ 1933 2 212.pdf"
,"5WTK-9F01-F2MB-S4Y0-00000-00","MLJ 1933 2 214.pdf"
,"5WWJ-MMW1-JT99-22F6-00000-00","MLJ 1933 2 217.pdf"
,"5WTK-9F11-F2MB-S1KK-00000-00","MLJ 1933 2 222.pdf"
,"60X6-HYJ1-F8SS-60CC-00000-00","MLJ 1933 2 222b.pdf"
,"5WTK-9F11-F2MB-S1R9-00000-00","MLJ 1933 2 224.pdf"
,"60X6-HYJ1-F8SS-609B-00000-00","MLJ 1933 2 224b.pdf"
,"5WTK-9F11-F2MB-S17X-00000-00","MLJ 1933 2 226.pdf"
,"60X6-HYJ1-F8SS-609R-00000-00","MLJ 1933 2 226b.pdf"
,"5WTK-9F11-F2MB-S1G7-00000-00","MLJ 1933 2 228.pdf"
,"5WTK-9F11-F2MB-S05J-00000-00","MLJ 1933 2 234.pdf"
,"5WTK-9F11-F2MB-S1M3-00000-00","MLJ 1933 2 237.pdf"
,"5WTK-9F11-F2MB-S1S2-00000-00","MLJ 1933 2 239.pdf"
,"5WTK-9F11-F2MB-S15P-00000-00","MLJ 1933 2 241.pdf"
,"5WWJ-MMW1-JT99-22DF-00000-00","MLJ 1933 2 245.pdf"
,"5WTK-9F11-F2MB-S0N4-00000-00","MLJ 1933 2 247.pdf"
,"5WTK-9F11-F2MB-S187-00000-00","MLJ 1933 2 250.pdf"
,"5WTK-9F01-F2MB-S4YP-00000-00","MLJ 1933 2 259.pdf"
,"5WTK-9F01-F2MB-S4V8-00000-00","MLJ 1933 2 262.pdf"
,"5WTK-9F01-F2MB-S4N7-00000-00","MLJ 1933 2 264.pdf"
,"5WTK-9F11-F2MB-S1RC-00000-00","MLJ 1933 2 267.pdf"
,"5WTK-9F11-F2MB-S0W4-00000-00","MLJ 1933 2 276.pdf"
,"5WTK-9F11-F2MB-S01P-00000-00","MLJ 1933 2 279.pdf"
,"5WTK-9F11-F2MB-S0SP-00000-00","MLJ 1933 2 283.pdf"
,"5WTK-9F01-F2MB-S51K-00000-00","MLJ 1933 2 286.pdf"
,"5WTK-9F11-F2MB-S0CV-00000-00","MLJ 1933 2 292.pdf"
,"5WTK-9F11-F2MB-S1JY-00000-00","MLJ 1933 2 293.pdf"
,"5WTK-9F11-F2MB-S1RR-00000-00","MLJ 1933 2 295.pdf"
,"5WTK-9F11-F2MB-S04S-00000-00","MLJ 1933 2 298.pdf"
,"5WTK-9F11-F2MB-S1FV-00000-00","MLJ 1933 2 299.pdf"
,"5WTK-9F01-F2MB-S4NM-00000-00","MLJ 1933 2 300.pdf"
,"5WTK-9F11-F2MB-S12K-00000-00","MLJ 1933 2 301.pdf"
,"5WTK-9F11-F2MB-S1DK-00000-00","MLJ 1933 2 307.pdf"
mlj_1934_1,"5WTK-9F11-F2MB-S04H-00000-00","MLJ 1934 1 1.pdf","Malayan Law Journal, 1934, Volume 1",[1934],texts,malayan-law-journal
,"5WTK-9F11-F2MB-S0MM-00000-00","MLJ 1934 1 1b.pdf"
,"5WTK-9F11-F2MB-S00P-00000-00","MLJ 1934 1 3.pdf"
,"5WTK-9F01-F2MB-S4YH-00000-00","MLJ 1934 1 5.pdf"
,"5WTK-9F11-F2MB-S0WG-00000-00","MLJ 1934 1 6.pdf"
,"5WTK-9F11-F2MB-S18P-00000-00","MLJ 1934 1 11.pdf"
,"5WTK-9F11-F2MB-S0DR-00000-00","MLJ 1934 1 12.pdf"
,"610T-J801-JX3N-B202-00000-00","MLJ 1934 1 12b.pdf"
,"5WTK-9F11-F2MB-S086-00000-00","MLJ 1934 1 14.pdf"
,"5WTK-9F11-F2MB-S1MS-00000-00","MLJ 1934 1 15.pdf"
,"5WTK-9F01-F2MB-S4S2-00000-00","MLJ 1934 1 16.pdf"
,"5WTK-9F11-F2MB-S0TR-00000-00","MLJ 1934 1 17.pdf"
,"5WTK-9F01-F2MB-S4YV-00000-00","MLJ 1934 1 21.pdf"
,"5WTK-9F11-F2MB-S0VR-00000-00","MLJ 1934 1 22.pdf"
,"5WTK-9F01-F2MB-S4T3-00000-00","MLJ 1934 1 23.pdf"
,"5WTK-9F01-F2MB-S4MR-00000-00","MLJ 1934 1 25.pdf"
,"5WTK-9F01-F2MB-S4W3-00000-00","MLJ 1934 1 30.pdf"
,"67K1-V111-FC1F-M1K4-00000-00","MLJ 1934 1 31.pdf"
,"5WTK-9F01-F2MB-S558-00000-00","MLJ 1934 1 34.pdf"
,"5WTK-9F11-F2MB-S0F5-00000-00","MLJ 1934 1 40.pdf"
,"5WTK-9F01-F2MB-S4NF-00000-00","MLJ 1934 1 43.pdf"
,"5WTK-9F01-F2MB-S4VH-00000-00","MLJ 1934 1 45.pdf"
,"5WTK-9F11-F2MB-S0XF-00000-00","MLJ 1934 1 46.pdf"
,"5WTK-9F11-F2MB-S1BF-00000-00","MLJ 1934 1 47.pdf"
,"610T-J801-JX3N-B22J-00000-00","MLJ 1934 1 47b.pdf"
,"5WTK-9F11-F2MB-S16C-00000-00","MLJ 1934 1 49.pdf"
,"5WWJ-MMW1-JT99-20NF-00000-00","MLJ 1934 1 50.pdf"
,"5WTK-9F11-F2MB-S10B-00000-00","MLJ 1934 1 60.pdf"
,"5WTK-9F11-F2MB-S01C-00000-00","MLJ 1934 1 64.pdf"
,"5WTK-9F11-F2MB-S15G-00000-00","MLJ 1934 1 65.pdf"

,"5WTK-9F11-F2MB-S06J-00000-00","MLJ 1934 1 66.pdf"
,"5WTK-9F11-F2MB-S0BJ-00000-00","MLJ 1934 1 68.pdf"
,"610T-J801-JX3N-B214-00000-00","MLJ 1934 1 68b.pdf"
,"5WTK-9F11-F2MB-S1BV-00000-00","MLJ 1934 1 71.pdf"
,"610T-J801-JX3N-B20B-00000-00","MLJ 1934 1 71b.pdf"
,"5WTK-9F11-F2MB-S062-00000-00","MLJ 1934 1 72.pdf"
,"5WTK-9F11-F2MB-S017-00000-00","MLJ 1934 1 74.pdf"
,"5WTK-9F11-F2MB-S0XG-00000-00","MLJ 1934 1 76.pdf"
,"5WTK-9F11-F2MB-S0F4-00000-00","MLJ 1934 1 83.pdf"
,"5WTK-9F01-F2MB-S4XP-00000-00","MLJ 1934 1 93.pdf"
,"610T-J801-JX3N-B22N-00000-00","MLJ 1934 1 93b.pdf"
,"5WTK-9F11-F2MB-S0TN-00000-00","MLJ 1934 1 94.pdf"
,"5WWJ-MMW1-JT99-21Y4-00000-00","MLJ 1934 1 96.pdf"
,"5WTK-9F11-F2MB-S1R5-00000-00","MLJ 1934 1 99.pdf"
,"5WTK-9F11-F2MB-S0B5-00000-00","MLJ 1934 1 110.pdf"
,"5WTK-9F01-F2MB-S4XT-00000-00","MLJ 1934 1 119.pdf"
,"5WTK-9F11-F2MB-S124-00000-00","MLJ 1934 1 121.pdf"
,"5WTK-9F01-F2MB-S4TB-00000-00","MLJ 1934 1 124.pdf"
,"5WTK-9F11-F2MB-S1MH-00000-00","MLJ 1934 1 126.pdf"
,"5WTK-9F11-F2MB-S0BC-00000-00","MLJ 1934 1 127.pdf"
,"5WTK-9F01-F2MB-S52R-00000-00","MLJ 1934 1 133.pdf"
,"5WTK-9F11-F2MB-S11G-00000-00","MLJ 1934 1 136.pdf"
,"5WTK-9F11-F2MB-S1DR-00000-00","MLJ 1934 1 139.pdf"
,"5WTK-9F11-F2MB-S0FN-00000-00","MLJ 1934 1 140.pdf"
,"5WTK-9F11-F2MB-S09V-00000-00","MLJ 1934 1 142.pdf"
,"5WTK-9F11-F2MB-S01F-00000-00","MLJ 1934 1 153.pdf"
,"5WTK-9F11-F2MB-S0G1-00000-00","MLJ 1934 1 155.pdf"
,"5WTK-9F11-F2MB-S1SN-00000-00","MLJ 1934 1 156.pdf"
,"5WWJ-MMW1-JT99-221G-00000-00","MLJ 1934 1 159.pdf"
,"5WTK-9F11-F2MB-S123-00000-00","MLJ 1934 1 164.pdf"
,"5WTK-9F11-F2MB-S0X4-00000-00","MLJ 1934 1 166.pdf"
,"5WTK-9F01-F2MB-S4XR-00000-00","MLJ 1934 1 174.pdf"
,"5WTK-9F01-F2MB-S52P-00000-00","MLJ 1934 1 176.pdf"
,"5WTK-9F11-F2MB-S11K-00000-00","MLJ 1934 1 179.pdf"
,"5WTK-9F11-F2MB-S1B7-00000-00","MLJ 1934 1 180.pdf"
,"5WWJ-MMW1-JT99-22PN-00000-00","MLJ 1934 1 182.pdf"
,"5X3Y-JJG1-FBN1-20B1-00000-00","MLJ 1934 1 184.pdf"
,"5WTK-9F11-F2MB-S0BT-00000-00","MLJ 1934 1 201.pdf"
,"5WTK-9F01-F2MB-S4TS-00000-00","MLJ 1934 1 203.pdf"
,"5WTK-9F11-F2MB-S0K3-00000-00","MLJ 1934 1 204.pdf"
,"5WTK-9F01-F2MB-S4N6-00000-00","MLJ 1934 1 205.pdf"
,"5WTK-9F01-F2MB-S557-00000-00","MLJ 1934 1 207.pdf"
,"5WTK-9F01-F2MB-S4KG-00000-00","MLJ 1934 1 212.pdf"
,"5WTK-9F11-F2MB-S1H6-00000-00","MLJ 1934 1 215.pdf"
,"5WTK-9F11-F2MB-S05F-00000-00","MLJ 1934 1 218.pdf"
,"5WTK-9F11-F2MB-S15H-00000-00","MLJ 1934 1 219.pdf"
